Backends,dask,pandas,duckdb,trino,snowflake,bigquery,clickhouse,postgres,polars,pyspark,mysql,impala,sqlite,mssql,datafusion
`DateTruncate`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`Date`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`DayOfWeekIndex`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`DayOfWeekName`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`Degrees`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`DenseRank`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`E`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ElementWiseVectorizedUDF`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified }
`EndsWith`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`Equals`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`ExistsSubquery`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`Exp`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractAuthority`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ExtractDayOfYear`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractDay`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractEpochSeconds`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractFile`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ExtractFragment`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ExtractHost`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ExtractHour`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractMillisecond`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractMinute`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractMonth`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractPath`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ExtractProtocol`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ExtractQuarter`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractQuery`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ExtractSecond`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractUserInfo`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ExtractWeekOfYear`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ExtractYear`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`FindInSet`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`FirstValue`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`FloorDivide`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Floor`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GreaterEqual`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Greater`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Greatest`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GroupConcat`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`HashBytes`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`Hash`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`IdenticalTo`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`IfNull`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`IntervalAdd`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`IntervalFloorDivide`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`IntervalFromInteger`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`IntervalMultiply`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`IntervalSubtract`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`IsInf`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`IsNan`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`IsNull`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`JSONGetItem`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`LPad`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`LStrip`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Lag`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`LastValue`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`Lead`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`Least`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`LessEqual`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Less`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
